Yaw;Pitch;Roll;Latitude;Longitude;Altitude;Velocity Body X ;Velocity Body Y;Angular Rate Z;Temperature;pH;Pressure;Depth;Actual Conductivity;Resistivity;Salinity;ORP;Dissolved Oxygen Concentration;Time
-88.771;4.195;2.164;-16.38810778;-72.19470709;1378.865;0.000855278;-0.00850048;-0.015142;0;0;0;0;0;0;0;0;0;0
-89.024;4.309;2.422;-16.38810761;-72.19470698;1378.856;-0.000191494;0.008556795;-0.01284;0;0;0;0;0;0;0;0;0;0.333333333
-89.295;4.624;2.516;-16.38810759;-72.19470697;1378.874;0.006192426;-0.008330572;-0.019755;0;0;0;0;0;0;0;0;0;0.666666667
-89.658;4.763;2.307;-16.38810764;-72.19470693;1378.852;0.008125926;-0.017085898;-0.01969;0;0;0;0;0;0;0;0;0;1
-89.997;4.601;2.273;-16.3881077;-72.19470694;1378.841;0.009143126;-0.00404313;-0.018096;0;0;0;0;0;0;0;0;0;1.333333333
-90.282;4.505;2.45;-16.38810749;-72.19470694;1378.824;0.00852892;0.012067865;-0.014907;0;0;0;0;0;0;0;0;0;1.666666667
-90.601;4.442;2.516;-16.38810752;-72.19470695;1378.821;0.012479183;-0.004258576;-0.021352;0;0;0;0;0;0;0;0;0;2
-91.027;4.172;2.346;-16.38810751;-72.19470692;1378.817;0.019347067;-0.009308617;-0.029028;0;0;0;0;0;0;0;0;0;2.333333333
-91.512;4.143;2.241;-16.38810744;-72.19470696;1378.826;0.016218783;0.006497942;-0.025139;0;0;0;0;0;0;0;0;0;2.666666667
-91.926;4.512;2.507;-16.38810744;-72.19470692;1378.831;0.0129557;0.012428577;-0.024388;0;0;0;0;0;0;0;0;0;3
-92.294;4.72;2.636;-16.38810745;-72.1947069;1378.819;0.010558113;-0.007325388;-0.024938;0;0;0;0;0;0;0;0;0;3.333333333
-92.78;4.559;2.275;-16.38810752;-72.19470684;1378.788;0.002394413;-0.015799217;-0.025953;0;0;0;0;0;0;0;0;0;3.666666667
-93.1;4.373;2.177;-16.38810762;-72.19470671;1378.782;-0.007386153;-0.00281689;-0.01294;0;0;0;0;0;0;0;0;0;4
-93.323;4.097;2.455;-16.38810747;-72.19470666;1378.763;-0.002357924;-0.001521927;-0.013916;0;0;0;0;0;0;0;0;0;4.333333333
-93.715;4.004;2.39;-16.38810755;-72.19470669;1378.756;-0.002774002;-0.017644913;-0.028593;0;0;0;0;0;0;0;0;0;4.666666667
-94.059;4.534;2.463;-16.38810757;-72.19470665;1378.757;-0.006095019;-0.001255703;-0.01147;0;0;0;0;0;0;0;0;0;5
-94.158;4.84;2.582;-16.38810755;-72.19470657;1378.755;-0.012515887;-0.011387048;-0.006924;0;0;0;0;0;0;0;0;0;5.333333333
-94.332;4.628;2.2;-16.38810773;-72.19470654;1378.755;-0.017069223;-0.03034633;-0.011312;0;0;0;0;0;0;0;0;0;5.666666667
-94.421;4.417;2.152;-16.38810778;-72.19470651;1378.767;-0.025671821;-0.013439088;0.000135;0;0;0;0;0;0;0;0;0;6
-94.441;4.343;2.559;-16.38810768;-72.19470639;1378.767;-0.02746464;-0.011411676;-0.005234;0;0;0;0;0;0;0;0;0;6.333333333
-94.591;4.366;2.473;-16.38810768;-72.19470627;1378.764;-0.025936944;-0.023699967;-0.011584;0;0;0;0;0;0;0;0;0;6.666666667
